EstadoMovimientoId,TipoEstadoId,MovimientoId,FechaAlta,HoraAlta,EmpleadoId,ETD,ZonaFondeoId,LatGrados,LatMinutos,LatSegundos,LongGrados,LongMinutos,LongSegundos
3715,3,884,2017-03-16 00:00:00.000,2017-03-16 16:17:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3716,20,884,2017-03-16 00:00:00.000,2017-03-16 15:56:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3717,2,884,2017-03-16 00:00:00.000,2017-03-16 16:16:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3718,3,885,2017-03-15 00:00:00.000,2017-03-16 21:20:00.000,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3719,4,885,2017-03-15 00:00:00.000,2017-03-16 21:50:00.000,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3720,3,886,2017-03-16 00:00:00.000,2017-03-16 16:35:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3721,2,886,2017-03-16 16:20:00.000,2017-03-16 16:20:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3722,4,886,2017-03-16 00:00:00.000,2017-03-16 16:56:06.627,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3723,3,887,2017-03-16 00:00:00.000,2017-03-16 07:50:00.000,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3724,4,887,2017-03-16 00:00:00.000,2017-03-16 08:12:00.000,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3725,3,888,2017-03-16 00:00:00.000,2017-03-16 12:50:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3726,4,888,2017-03-16 00:00:00.000,2017-03-16 13:30:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3727,3,889,2017-03-16 00:00:00.000,2017-03-21 07:02:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3728,20,889,2017-03-16 00:00:00.000,2017-03-21 07:07:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3729,2,889,2017-03-16 00:00:00.000,2017-03-21 07:00:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3730,4,889,2017-03-16 00:00:00.000,2017-03-21 07:16:00.000,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3731,3,890,2017-03-16 00:00:00.000,2017-03-16 07:25:00.000,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3732,20,890,2017-03-16 00:00:00.000,2017-03-16 07:09:00.000,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3733,2,890,2017-03-16 00:00:00.000,2017-03-16 07:00:00.000,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3734,4,890,2017-03-16 00:00:00.000,2017-03-16 07:50:00.000,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3735,3,891,2017-03-16 00:00:00.000,2017-03-16 17:25:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3736,3,892,2017-03-16 00:00:00.000,2017-03-16 17:38:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3737,20,892,2017-03-16 00:00:00.000,2017-03-16 17:30:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3738,2,892,2017-03-16 17:33:00.000,2017-03-16 17:33:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3739,4,884,2017-03-16 00:00:00.000,2017-03-16 17:25:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3740,4,892,2017-03-16 00:00:00.000,2017-03-16 17:52:20.297,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3741,3,894,2017-03-16 00:00:00.000,2017-03-16 18:00:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3742,20,894,2017-03-16 00:00:00.000,2017-03-16 17:40:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3743,2,894,2017-03-16 17:54:00.000,2017-03-16 17:54:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3744,3,895,2017-03-16 00:00:00.000,2017-03-16 17:10:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3745,20,895,2017-03-16 00:00:00.000,2017-03-16 16:30:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3746,2,895,2017-03-16 00:00:00.000,2017-03-16 16:30:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3747,4,895,2017-03-16 00:00:00.000,2017-03-16 17:30:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3748,3,896,2017-03-16 00:00:00.000,2017-03-21 18:18:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3749,20,896,2017-03-16 00:00:00.000,2017-03-21 18:17:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3750,2,896,2017-03-16 00:00:00.000,2017-03-21 18:17:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3751,4,896,2017-03-16 00:00:00.000,2017-03-21 18:18:00.000,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3752,4,891,2017-03-16 00:00:00.000,2017-03-16 18:18:27.083,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3753,4,894,2017-03-16 00:00:00.000,2017-03-16 18:25:58.457,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3754,3,897,2017-03-16 00:00:00.000,2017-03-16 18:44:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3755,20,897,2017-03-16 00:00:00.000,2017-03-16 18:40:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3756,2,897,2017-03-16 19:00:00.000,2017-03-16 19:00:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3757,3,898,2017-03-16 00:00:00.000,2017-03-21 18:30:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3758,20,898,2017-03-16 00:00:00.000,2017-03-21 18:25:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3759,2,898,2017-03-16 00:00:00.000,2017-03-21 18:30:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3760,4,898,2017-03-16 00:00:00.000,2017-03-21 18:59:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3761,4,897,2017-03-16 00:00:00.000,2017-03-16 19:02:38.350,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3762,3,899,2017-03-16 00:00:00.000,2017-03-16 19:21:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3763,20,899,2017-03-16 00:00:00.000,2017-03-16 18:01:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3764,2,899,2017-03-16 19:08:00.000,2017-03-16 19:08:00.000,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3765,3,900,2017-03-16 00:00:00.000,2017-03-16 19:35:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3766,20,900,2017-03-16 00:00:00.000,2017-03-16 19:11:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3767,2,900,2017-03-16 19:11:00.000,2017-03-16 19:11:00.000,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
